"","Notes","State","State.Code","Year","Year.Code","Deaths","Population","Crude.Rate","region"
"394",NA,"Utah",49,2006,2006,444,2525507,"17.6","UT"
"395",NA,"Vermont",50,2006,2006,75,622892,"12","VT"
"396",NA,"Virginia",51,2006,2006,629,7673725,"8.2","VA"
"397",NA,"Washington",53,2006,2006,897,6370753,"14.1","WA"
"398",NA,"West Virginia",54,2006,2006,362,1827912,"19.8","WV"
"399",NA,"Wisconsin",55,2006,2006,593,5577655,"10.6","WI"
"400",NA,"Wyoming",56,2006,2006,55,522667,"10.5","WY"
"401",NA,"Alabama",1,2007,2007,511,4672840,"10.9","AL"
"402",NA,"Alaska",2,2007,2007,72,680300,"10.6","AK"
"403",NA,"Arizona",4,2007,2007,943,6167681,"15.3","AZ"
"404",NA,"Arkansas",5,2007,2007,301,2848650,"10.6","AR"
"405",NA,"California",6,2007,2007,3854,36250311,"10.6","CA"
"406",NA,"Colorado",8,2007,2007,734,4803868,"15.3","CO"
"407",NA,"Connecticut",9,2007,2007,433,3527270,"12.3","CT"
"408",NA,"Delaware",10,2007,2007,97,871749,"11.1","DE"
"409",NA,"Florida",12,2007,2007,2794,18367842,"15.2","FL"
"410",NA,"Georgia",13,2007,2007,923,9349988,"9.9","GA"
"411",NA,"Hawaii",15,2007,2007,136,1315675,"10.3","HI"
"412",NA,"Idaho",16,2007,2007,126,1505105,"8.4","ID"
"413",NA,"Illinois",17,2007,2007,1192,12695866,"9.4","IL"
"414",NA,"Indiana",18,2007,2007,781,6379599,"12.2","IN"
"415",NA,"Iowa",19,2007,2007,203,2999212,"6.8","IA"
"416",NA,"Kansas",20,2007,2007,270,2783785,"9.7","KS"
"417",NA,"Kentucky",21,2007,2007,708,4256672,"16.6","KY"
"418",NA,"Louisiana",22,2007,2007,808,4375581,"18.5","LA"
"419",NA,"Maine",23,2007,2007,159,1327040,"12","ME"
"420",NA,"Maryland",24,2007,2007,769,5653408,"13.6","MD"
"421",NA,"Massachusetts",25,2007,2007,922,6431559,"14.3","MA"
"422",NA,"Michigan",26,2007,2007,1236,10001284,"12.4","MI"
"423",NA,"Minnesota",27,2007,2007,341,5207203,"6.5","MN"
"424",NA,"Mississippi",28,2007,2007,314,2928350,"10.7","MS"
"425",NA,"Missouri",29,2007,2007,714,5887612,"12.1","MO"
"426",NA,"Montana",30,2007,2007,125,964706,"13","MT"
"427",NA,"Nebraska",31,2007,2007,80,1783440,"4.5","NE"
"428",NA,"Nevada",32,2007,2007,499,2601072,"19.2","NV"
"429",NA,"New Hampshire",33,2007,2007,186,1312540,"14.2","NH"
"430",NA,"New Jersey",34,2007,2007,727,8677885,"8.4","NJ"
"431",NA,"New Mexico",35,2007,2007,462,1990070,"23.2","NM"
"432",NA,"New York",36,2007,2007,1708,19132335,"8.9","NY"
"433",NA,"North Carolina",37,2007,2007,1084,9118037,"11.9","NC"
"434",NA,"North Dakota",38,2007,2007,32,652822,"4.9","ND"
"435",NA,"Ohio",39,2007,2007,1592,11500468,"13.8","OH"
"436",NA,"Oklahoma",40,2007,2007,666,3634349,"18.3","OK"
"437",NA,"Oregon",41,2007,2007,502,3722417,"13.5","OR"
"438",NA,"Pennsylvania",42,2007,2007,1733,12563937,"13.8","PA"
"439",NA,"Rhode Island",44,2007,2007,135,1057315,"12.8","RI"
"440",NA,"South Carolina",45,2007,2007,545,4444110,"12.3","SC"
"441",NA,"South Dakota",46,2007,2007,32,791623,"4","SD"
"442",NA,"Tennessee",47,2007,2007,985,6175727,"15.9","TN"
"443",NA,"Texas",48,2007,2007,2194,23831983,"9.2","TX"
"444",NA,"Utah",49,2007,2007,511,2597746,"19.7","UT"
"445",NA,"Vermont",50,2007,2007,66,623481,"10.6","VT"
"446",NA,"Virginia",51,2007,2007,700,7751000,"9","VA"
"447",NA,"Washington",53,2007,2007,962,6461587,"14.9","WA"
"448",NA,"West Virginia",54,2007,2007,397,1834052,"21.6","WV"
"449",NA,"Wisconsin",55,2007,2007,622,5610775,"11.1","WI"
"450",NA,"Wyoming",56,2007,2007,63,534876,"11.8","WY"
"451",NA,"Alabama",1,2008,2008,607,4718206,"12.9","AL"
"452",NA,"Alaska",2,2008,2008,127,687455,"18.5","AK"
"453",NA,"Arizona",4,2008,2008,828,6280362,"13.2","AZ"
"454",NA,"Arkansas",5,2008,2008,360,2874554,"12.5","AR"
"455",NA,"California",6,2008,2008,3863,36604337,"10.6","CA"
"456",NA,"Colorado",8,2008,2008,749,4889730,"15.3","CO"
"457",NA,"Connecticut",9,2008,2008,386,3545579,"10.9","CT"
"458",NA,"Delaware",10,2008,2008,124,883874,"14","DE"
"459",NA,"Florida",12,2008,2008,2963,18527305,"16","FL"
"460",NA,"Georgia",13,2008,2008,935,9504843,"9.8","GA"
"461",NA,"Hawaii",15,2008,2008,123,1332213,"9.2","HI"
"462",NA,"Idaho",16,2008,2008,146,1534320,"9.5","ID"
"463",NA,"Illinois",17,2008,2008,1353,12747038,"10.6","IL"
"464",NA,"Indiana",18,2008,2008,830,6424806,"12.9","IN"
"465",NA,"Iowa",19,2008,2008,209,3016734,"6.9","IA"
"466",NA,"Kansas",20,2008,2008,219,2808076,"7.8","KS"
"467",NA,"Kentucky",21,2008,2008,764,4289878,"17.8","KY"
"468",NA,"Louisiana",22,2008,2008,647,4435586,"14.6","LA"
"469",NA,"Maine",23,2008,2008,162,1330509,"12.2","ME"
"470",NA,"Maryland",24,2008,2008,693,5684965,"12.2","MD"
"471",NA,"Massachusetts",25,2008,2008,786,6468967,"12.2","MA"
"472",NA,"Michigan",26,2008,2008,1239,9946889,"12.5","MI"
"473",NA,"Minnesota",27,2008,2008,384,5247018,"7.3","MN"
"474",NA,"Mississippi",28,2008,2008,303,2947806,"10.3","MS"
"475",NA,"Missouri",29,2008,2008,765,5923916,"12.9","MO"
"476",NA,"Montana",30,2008,2008,134,976415,"13.7","MT"
"477",NA,"Nebraska",31,2008,2008,94,1796378,"5.2","NE"
"478",NA,"Nevada",32,2008,2008,519,2653630,"19.6","NV"
"479",NA,"New Hampshire",33,2008,2008,126,1315906,"9.6","NH"
"480",NA,"New Jersey",34,2008,2008,702,8711090,"8.1","NJ"
"481",NA,"New Mexico",35,2008,2008,518,2010662,"25.8","NM"
"482",NA,"New York",36,2008,2008,1691,19212436,"8.8","NY"
"483",NA,"North Carolina",37,2008,2008,1196,9309449,"12.8","NC"
"484",NA,"North Dakota",38,2008,2008,46,657569,"7","ND"
"485",NA,"Ohio",39,2008,2008,1733,11515391,"15","OH"
"486",NA,"Oklahoma",40,2008,2008,564,3668976,"15.4","OK"
"487",NA,"Oregon",41,2008,2008,452,3768748,"12","OR"
"488",NA,"Pennsylvania",42,2008,2008,1850,12612285,"14.7","PA"
"489",NA,"Rhode Island",44,2008,2008,185,1055003,"17.5","RI"
"490",NA,"South Carolina",45,2008,2008,565,4528996,"12.5","SC"
"491",NA,"South Dakota",46,2008,2008,54,799124,"6.8","SD"
"492",NA,"Tennessee",47,2008,2008,938,6247411,"15","TN"
"493",NA,"Texas",48,2008,2008,2053,24309039,"8.4","TX"
"494",NA,"Utah",49,2008,2008,468,2663029,"17.6","UT"
"495",NA,"Vermont",50,2008,2008,73,624151,"11.7","VT"
"496",NA,"Virginia",51,2008,2008,718,7833496,"9.2","VA"
"497",NA,"Washington",53,2008,2008,1011,6562231,"15.4","WA"
"498",NA,"West Virginia",54,2008,2008,459,1840310,"24.9","WV"
"499",NA,"Wisconsin",55,2008,2008,606,5640996,"10.7","WI"
"500",NA,"Wyoming",56,2008,2008,74,546043,"13.6","WY"
"501",NA,"Alabama",1,2009,2009,630,4757938,"13.2","AL"
"502",NA,"Alaska",2,2009,2009,131,698895,"18.7","AK"
"503",NA,"Arizona",4,2009,2009,1002,6343154,"15.8","AZ"
"504",NA,"Arkansas",5,2009,2009,351,2896843,"12.1","AR"
"505",NA,"California",6,2009,2009,4056,36961229,"11","CA"
"506",NA,"Colorado",8,2009,2009,769,4972195,"15.5","CO"
"507",NA,"Connecticut",9,2009,2009,393,3561807,"11","CT"
"508",NA,"Delaware",10,2009,2009,136,891730,"15.3","DE"
"509",NA,"Florida",12,2009,2009,3092,18652644,"16.6","FL"
"510",NA,"Georgia",13,2009,2009,1007,9620846,"10.5","GA"
"511",NA,"Hawaii",15,2009,2009,136,1346717,"10.1","HI"
"512",NA,"Idaho",16,2009,2009,171,1554439,"11","ID"
"513",NA,"Illinois",17,2009,2009,1381,12796778,"10.8","IL"
"514",NA,"Indiana",18,2009,2009,896,6459325,"13.9","IN"
"515",NA,"Iowa",19,2009,2009,207,3032870,"6.8","IA"
"516",NA,"Kansas",20,2009,2009,304,2832704,"10.7","KS"
"517",NA,"Kentucky",21,2009,2009,769,4317074,"17.8","KY"
"518",NA,"Louisiana",22,2009,2009,584,4491648,"13","LA"
"519",NA,"Maine",23,2009,2009,173,1329590,"13","ME"
"520",NA,"Maryland",24,2009,2009,743,5730388,"13","MD"
"521",NA,"Massachusetts",25,2009,2009,816,6517613,"12.5","MA"
"522",NA,"Michigan",26,2009,2009,1429,9901591,"14.4","MI"
"523",NA,"Minnesota",27,2009,2009,419,5281203,"7.9","MN"
"524",NA,"Mississippi",28,2009,2009,323,2958774,"10.9","MS"
"525",NA,"Missouri",29,2009,2009,863,5961088,"14.5","MO"
"526",NA,"Montana",30,2009,2009,142,983982,"14.4","MT"
"527",NA,"Nebraska",31,2009,2009,106,1812683,"5.8","NE"
"528",NA,"Nevada",32,2009,2009,550,2684665,"20.5","NV"
"529",NA,"New Hampshire",33,2009,2009,168,1316102,"12.8","NH"
"530",NA,"New Jersey",34,2009,2009,263,8755602,"3","NJ"
"531",NA,"New Mexico",35,2009,2009,438,2036802,"21.5","NM"
"532",NA,"New York",36,2009,2009,1592,19307066,"8.2","NY"
"533",NA,"North Carolina",37,2009,2009,1191,9449566,"12.6","NC"
"534",NA,"North Dakota",38,2009,2009,27,664968,"4.1","ND"
"535",NA,"Ohio",39,2009,2009,1236,11528896,"10.7","OH"
"536",NA,"Oklahoma",40,2009,2009,756,3717572,"20.3","OK"
"537",NA,"Oregon",41,2009,2009,501,3808600,"13.2","OR"
"538",NA,"Pennsylvania",42,2009,2009,1909,12666858,"15.1","PA"
"539",NA,"Rhode Island",44,2009,2009,161,1053646,"15.3","RI"
"540",NA,"South Carolina",45,2009,2009,615,4589872,"13.4","SC"
"541",NA,"South Dakota",46,2009,2009,49,807067,"6.1","SD"
"542",NA,"Tennessee",47,2009,2009,962,6306019,"15.3","TN"
"543",NA,"Texas",48,2009,2009,2409,24801761,"9.7","TX"
"544",NA,"Utah",49,2009,2009,478,2723421,"17.6","UT"
"545",NA,"Vermont",50,2009,2009,55,624817,"8.8","VT"
"546",NA,"Virginia",51,2009,2009,685,7925937,"8.6","VA"
"547",NA,"Washington",53,2009,2009,987,6667426,"14.8","WA"
"548",NA,"West Virginia",54,2009,2009,226,1847775,"12.2","WV"
"549",NA,"Wisconsin",55,2009,2009,631,5669264,"11.1","WI"
"550",NA,"Wyoming",56,2009,2009,60,559851,"10.7","WY"
"551",NA,"Alabama",1,2010,2010,547,4779736,"11.4","AL"
"552",NA,"Alaska",2,2010,2010,83,710231,"11.7","AK"
"553",NA,"Arizona",4,2010,2010,1098,6392017,"17.2","AZ"
"554",NA,"Arkansas",5,2010,2010,350,2915918,"12","AR"
"555",NA,"California",6,2010,2010,4057,37253956,"10.9","CA"
"556",NA,"Colorado",8,2010,2010,654,5029196,"13","CO"
"557",NA,"Connecticut",9,2010,2010,363,3574097,"10.2","CT"
"558",NA,"Delaware",10,2010,2010,145,897934,"16.1","DE"
"559",NA,"Florida",12,2010,2010,3061,18801310,"16.3","FL"
"560",NA,"Georgia",13,2010,2010,1054,9687653,"10.9","GA"
"561",NA,"Hawaii",15,2010,2010,151,1360301,"11.1","HI"
"562",NA,"Idaho",16,2010,2010,178,1567582,"11.4","ID"
"563",NA,"Illinois",17,2010,2010,1288,12830632,"10","IL"
"564",NA,"Indiana",18,2010,2010,927,6483802,"14.3","IN"
"565",NA,"Iowa",19,2010,2010,253,3046355,"8.3","IA"
"566",NA,"Kansas",20,2010,2010,269,2853118,"9.4","KS"
"567",NA,"Kentucky",21,2010,2010,1007,4339367,"23.2","KY"
"568",NA,"Louisiana",22,2010,2010,591,4533372,"13","LA"
"569",NA,"Maine",23,2010,2010,135,1328361,"10.2","ME"
"570",NA,"Maryland",24,2010,2010,650,5773552,"11.3","MD"
"571",NA,"Massachusetts",25,2010,2010,738,6547629,"11.3","MA"
"572",NA,"Michigan",26,2010,2010,1394,9883640,"14.1","MI"
"573",NA,"Minnesota",27,2010,2010,397,5303925,"7.5","MN"
"574",NA,"Mississippi",28,2010,2010,334,2967297,"11.3","MS"
"575",NA,"Missouri",29,2010,2010,998,5988927,"16.7","MO"
"576",NA,"Montana",30,2010,2010,118,989415,"11.9","MT"
"577",NA,"Nebraska",31,2010,2010,117,1826341,"6.4","NE"
"578",NA,"Nevada",32,2010,2010,578,2700551,"21.4","NV"
"579",NA,"New Hampshire",33,2010,2010,160,1316470,"12.2","NH"
"580",NA,"New Jersey",34,2010,2010,868,8791894,"9.9","NJ"
"581",NA,"New Mexico",35,2010,2010,478,2059179,"23.2","NM"
"582",NA,"New York",36,2010,2010,1557,19378102,"8","NY"
"583",NA,"North Carolina",37,2010,2010,1093,9535483,"11.5","NC"
"584",NA,"North Dakota",38,2010,2010,23,672591,"3.4","ND"
"585",NA,"Ohio",39,2010,2010,1835,11536504,"15.9","OH"
"586",NA,"Oklahoma",40,2010,2010,717,3751351,"19.1","OK"
"587",NA,"Oregon",41,2010,2010,503,3831074,"13.1","OR"
"588",NA,"Pennsylvania",42,2010,2010,1916,12702379,"15.1","PA"
"589",NA,"Rhode Island",44,2010,2010,167,1052567,"15.9","RI"
"590",NA,"South Carolina",45,2010,2010,678,4625364,"14.7","SC"
"591",NA,"South Dakota",46,2010,2010,45,814180,"5.5","SD"
"592",NA,"Tennessee",47,2010,2010,1080,6346105,"17","TN"
"593",NA,"Texas",48,2010,2010,2399,25145561,"9.5","TX"
"594",NA,"Utah",49,2010,2010,433,2763885,"15.7","UT"
"595",NA,"Vermont",50,2010,2010,63,625741,"10.1","VT"
"596",NA,"Virginia",51,2010,2010,558,8001024,"7","VA"
"597",NA,"Washington",53,2010,2010,916,6724540,"13.6","WA"
"598",NA,"West Virginia",54,2010,2010,512,1852994,"27.6","WV"
"599",NA,"Wisconsin",55,2010,2010,630,5686986,"11.1","WI"
"600",NA,"Wyoming",56,2010,2010,85,563626,"15.1","WY"
"601",NA,"Alabama",1,2011,2011,552,4802740,"11.5","AL"
"602",NA,"Alaska",2,2011,2011,107,722718,"14.8","AK"
"603",NA,"Arizona",4,2011,2011,1071,6482505,"16.5","AZ"
"604",NA,"Arkansas",5,2011,2011,355,2937979,"12.1","AR"
"605",NA,"California",6,2011,2011,4180,37691912,"11.1","CA"
"606",NA,"Colorado",8,2011,2011,843,5116796,"16.5","CO"
"607",NA,"Connecticut",9,2011,2011,402,3580709,"11.2","CT"
"608",NA,"Delaware",10,2011,2011,160,907135,"17.6","DE"
"609",NA,"Florida",12,2011,2011,2918,19057542,"15.3","FL"
"610",NA,"Georgia",13,2011,2011,1058,9815210,"10.8","GA"
"611",NA,"Hawaii",15,2011,2011,180,1374810,"13.1","HI"
"612",NA,"Idaho",16,2011,2011,193,1584985,"12.2","ID"
"613",NA,"Illinois",17,2011,2011,1408,12869257,"10.9","IL"
"614",NA,"Indiana",18,2011,2011,975,6516922,"15","IN"
"615",NA,"Iowa",19,2011,2011,250,3062309,"8.2","IA"
"616",NA,"Kansas",20,2011,2011,280,2871238,"9.8","KS"
"617",NA,"Kentucky",21,2011,2011,1058,4369356,"24.2","KY"
"618",NA,"Louisiana",22,2011,2011,601,4574836,"13.1","LA"
"619",NA,"Maine",23,2011,2011,156,1328188,"11.7","ME"
"620",NA,"Maryland",24,2011,2011,707,5828289,"12.1","MD"
"621",NA,"Massachusetts",25,2011,2011,857,6587536,"13","MA"
"622",NA,"Michigan",26,2011,2011,1386,9876187,"14","MI"
"623",NA,"Minnesota",27,2011,2011,511,5344861,"9.6","MN"
"624",NA,"Mississippi",28,2011,2011,302,2978512,"10.1","MS"
"625",NA,"Missouri",29,2011,2011,963,6010688,"16","MO"
"626",NA,"Montana",30,2011,2011,141,998199,"14.1","MT"
"627",NA,"Nebraska",31,2011,2011,129,1842641,"7","NE"
"628",NA,"Nevada",32,2011,2011,639,2723322,"23.5","NV"
"629",NA,"New Hampshire",33,2011,2011,210,1318194,"15.9","NH"
"630",NA,"New Jersey",34,2011,2011,1012,8821155,"11.5","NJ"
"631",NA,"New Mexico",35,2011,2011,529,2082224,"25.4","NM"
"632",NA,"New York",36,2011,2011,1948,19465197,"10","NY"
"633",NA,"North Carolina",37,2011,2011,1264,9656401,"13.1","NC"
"634",NA,"North Dakota",38,2011,2011,16,683932,NA,"ND"
"635",NA,"Ohio",39,2011,2011,2025,11544951,"17.5","OH"
"636",NA,"Oklahoma",40,2011,2011,703,3791508,"18.5","OK"
"637",NA,"Oregon",41,2011,2011,532,3871859,"13.7","OR"
"638",NA,"Pennsylvania",42,2011,2011,2289,12742886,"18","PA"
"639",NA,"Rhode Island",44,2011,2011,190,1051302,"18.1","RI"
"640",NA,"South Carolina",45,2011,2011,618,4679230,"13.2","SC"
"641",NA,"South Dakota",46,2011,2011,57,824082,"6.9","SD"
"642",NA,"Tennessee",47,2011,2011,1090,6403353,"17","TN"
"643",NA,"Texas",48,2011,2011,2589,25674681,"10.1","TX"
"644",NA,"Utah",49,2011,2011,504,2817222,"17.9","UT"
"645",NA,"Vermont",50,2011,2011,83,626431,"13.2","VT"
"646",NA,"Virginia",51,2011,2011,798,8096604,"9.9","VA"
"647",NA,"Washington",53,2011,2011,997,6830038,"14.6","WA"
"648",NA,"West Virginia",54,2011,2011,635,1855364,"34.2","WV"
"649",NA,"Wisconsin",55,2011,2011,698,5711767,"12.2","WI"
"650",NA,"Wyoming",56,2011,2011,85,568158,"15","WY"
"651",NA,"Alabama",1,2012,2012,562,4822023,"11.7","AL"
"652",NA,"Alaska",2,2012,2012,129,731449,"17.6","AK"
"653",NA,"Arizona",4,2012,2012,1134,6553255,"17.3","AZ"
"654",NA,"Arkansas",5,2012,2012,373,2949131,"12.6","AR"
"655",NA,"California",6,2012,2012,4040,38041430,"10.6","CA"
"656",NA,"Colorado",8,2012,2012,807,5187582,"15.6","CO"
"657",NA,"Connecticut",9,2012,2012,439,3590347,"12.2","CT"
"658",NA,"Delaware",10,2012,2012,141,917092,"15.4","DE"
"659",NA,"Florida",12,2012,2012,2597,19317568,"13.4","FL"
"660",NA,"Georgia",13,2012,2012,1056,9919945,"10.6","GA"
"661",NA,"Hawaii",15,2012,2012,155,1392313,"11.1","HI"
"662",NA,"Idaho",16,2012,2012,181,1595728,"11.3","ID"
"663",NA,"Illinois",17,2012,2012,1628,12875255,"12.6","IL"
"664",NA,"Indiana",18,2012,2012,1011,6537334,"15.5","IN"
"665",NA,"Iowa",19,2012,2012,259,3074186,"8.4","IA"
"666",NA,"Kansas",20,2012,2012,318,2885905,"11","KS"
"667",NA,"Kentucky",21,2012,2012,1078,4380415,"24.6","KY"
"668",NA,"Louisiana",22,2012,2012,566,4601893,"12.3","LA"
"669",NA,"Maine",23,2012,2012,150,1329192,"11.3","ME"
"670",NA,"Maryland",24,2012,2012,831,5884563,"14.1","MD"
"671",NA,"Massachusetts",25,2012,2012,859,6646144,"12.9","MA"
"672",NA,"Michigan",26,2012,2012,1308,9883360,"13.2","MI"
"673",NA,"Minnesota",27,2012,2012,482,5379139,"9","MN"
"674",NA,"Mississippi",28,2012,2012,310,2984926,"10.4","MS"
"675",NA,"Missouri",29,2012,2012,942,6021988,"15.6","MO"
"676",NA,"Montana",30,2012,2012,118,1005141,"11.7","MT"
"677",NA,"Nebraska",31,2012,2012,146,1855525,"7.9","NE"
"678",NA,"Nevada",32,2012,2012,602,2758931,"21.8","NV"
"679",NA,"New Hampshire",33,2012,2012,173,1320718,"13.1","NH"
"680",NA,"New Jersey",34,2012,2012,1222,8864590,"13.8","NJ"
"681",NA,"New Mexico",35,2012,2012,492,2085538,"23.6","NM"
"682",NA,"New York",36,2012,2012,2106,19570261,"10.8","NY"
"683",NA,"North Carolina",37,2012,2012,1298,9752073,"13.3","NC"
"684",NA,"North Dakota",38,2012,2012,21,699628,"3","ND"
"685",NA,"Ohio",39,2012,2012,2125,11544225,"18.4","OH"
"686",NA,"Oklahoma",40,2012,2012,771,3814820,"20.2","OK"
"687",NA,"Oregon",41,2012,2012,490,3899353,"12.6","OR"
"688",NA,"Pennsylvania",42,2012,2012,2365,12763536,"18.5","PA"
"689",NA,"Rhode Island",44,2012,2012,196,1050292,"18.7","RI"
"690",NA,"South Carolina",45,2012,2012,587,4723723,"12.4","SC"
"691",NA,"South Dakota",46,2012,2012,42,833354,"5","SD"
"692",NA,"Tennessee",47,2012,2012,1131,6456243,"17.5","TN"
"693",NA,"Texas",48,2012,2012,2447,26059203,"9.4","TX"
"694",NA,"Utah",49,2012,2012,601,2855287,"21","UT"
"695",NA,"Vermont",50,2012,2012,70,626011,"11.2","VT"
"696",NA,"Virginia",51,2012,2012,733,8185867,"9","VA"
"697",NA,"Washington",53,2012,2012,985,6897012,"14.3","WA"
"698",NA,"West Virginia",54,2012,2012,558,1855413,"30.1","WV"
"699",NA,"Wisconsin",55,2012,2012,692,5726398,"12.1","WI"
"700",NA,"Wyoming",56,2012,2012,98,576412,"17","WY"
"701",NA,"Alabama",1,2013,2013,598,4833722,"12.4","AL"
"702",NA,"Alaska",2,2013,2013,105,735132,"14.3","AK"
"703",NA,"Arizona",4,2013,2013,1222,6626624,"18.4","AZ"
"704",NA,"Arkansas",5,2013,2013,319,2959373,"10.8","AR"
"705",NA,"California",6,2013,2013,4452,38332521,"11.6","CA"
"706",NA,"Colorado",8,2013,2013,846,5268367,"16.1","CO"
"707",NA,"Connecticut",9,2013,2013,582,3596080,"16.2","CT"
"708",NA,"Delaware",10,2013,2013,166,925749,"17.9","DE"
"709",NA,"Florida",12,2013,2013,2474,19552860,"12.7","FL"
"710",NA,"Georgia",13,2013,2013,1098,9992167,"11","GA"
"711",NA,"Hawaii",15,2013,2013,158,1404054,"11.3","HI"
"712",NA,"Idaho",16,2013,2013,207,1612136,"12.8","ID"
"713",NA,"Illinois",17,2013,2013,1579,12882135,"12.3","IL"
"714",NA,"Indiana",18,2013,2013,1064,6570902,"16.2","IN"
"715",NA,"Iowa",19,2013,2013,275,3090416,"8.9","IA"
"716",NA,"Kansas",20,2013,2013,331,2893957,"11.4","KS"
"717",NA,"Kentucky",21,2013,2013,1019,4395295,"23.2","KY"
"718",NA,"Louisiana",22,2013,2013,809,4625470,"17.5","LA"
"719",NA,"Maine",23,2013,2013,174,1328302,"13.1","ME"
"720",NA,"Maryland",24,2013,2013,892,5928814,"15","MD"
"721",NA,"Massachusetts",25,2013,2013,1081,6692824,"16.2","MA"
"722",NA,"Michigan",26,2013,2013,1553,9895622,"15.7","MI"
"723",NA,"Minnesota",27,2013,2013,523,5420380,"9.6","MN"
"724",NA,"Mississippi",28,2013,2013,316,2991207,"10.6","MS"
"725",NA,"Missouri",29,2013,2013,1025,6044171,"17","MO"
"726",NA,"Montana",30,2013,2013,137,1015165,"13.5","MT"
"727",NA,"Nebraska",31,2013,2013,117,1868516,"6.3","NE"
"728",NA,"Nevada",32,2013,2013,614,2790136,"22","NV"
"729",NA,"New Hampshire",33,2013,2013,203,1323459,"15.3","NH"
"730",NA,"New Jersey",34,2013,2013,1294,8899339,"14.5","NJ"
"731",NA,"New Mexico",35,2013,2013,458,2085287,"22","NM"
"732",NA,"New York",36,2013,2013,2309,19651127,"11.7","NY"
"733",NA,"North Carolina",37,2013,2013,1259,9848060,"12.8","NC"
"734",NA,"North Dakota",38,2013,2013,20,723393,"2.8","ND"
"735",NA,"Ohio",39,2013,2013,2347,11570808,"20.3","OH"
"736",NA,"Oklahoma",40,2013,2013,790,3850568,"20.5","OK"
"737",NA,"Oregon",41,2013,2013,455,3930065,"11.6","OR"
"738",NA,"Pennsylvania",42,2013,2013,2426,12773801,"19","PA"
"739",NA,"Rhode Island",44,2013,2013,241,1051511,"22.9","RI"
"740",NA,"South Carolina",45,2013,2013,620,4774839,"13","SC"
"741",NA,"South Dakota",46,2013,2013,55,844877,"6.5","SD"
"742",NA,"Tennessee",47,2013,2013,1187,6495978,"18.3","TN"
"743",NA,"Texas",48,2013,2013,2446,26448193,"9.2","TX"
"744",NA,"Utah",49,2013,2013,594,2900872,"20.5","UT"
"745",NA,"Vermont",50,2013,2013,93,626630,"14.8","VT"
"746",NA,"Virginia",51,2013,2013,854,8260405,"10.3","VA"
"747",NA,"Washington",53,2013,2013,969,6971406,"13.9","WA"
"748",NA,"West Virginia",54,2013,2013,570,1854304,"30.7","WV"
"749",NA,"Wisconsin",55,2013,2013,856,5742713,"14.9","WI"
"750",NA,"Wyoming",56,2013,2013,98,582658,"16.8","WY"
"751",NA,"Alabama",1,2014,2014,723,4849377,"14.9","AL"
"752",NA,"Alaska",2,2014,2014,124,736732,"16.8","AK"
"753",NA,"Arizona",4,2014,2014,1211,6731484,"18","AZ"
"754",NA,"Arkansas",5,2014,2014,356,2966369,"12","AR"
"755",NA,"California",6,2014,2014,4521,38802500,"11.7","CA"
"756",NA,"Colorado",8,2014,2014,899,5355866,"16.8","CO"
"757",NA,"Connecticut",9,2014,2014,623,3596677,"17.3","CT"
"758",NA,"Delaware",10,2014,2014,189,935614,"20.2","DE"
"759",NA,"Florida",12,2014,2014,2634,19893297,"13.2","FL"
"760",NA,"Georgia",13,2014,2014,1206,10097343,"11.9","GA"
"761",NA,"Hawaii",15,2014,2014,157,1419561,"11.1","HI"
"762",NA,"Idaho",16,2014,2014,212,1634464,"13","ID"
"763",NA,"Illinois",17,2014,2014,1705,12880580,"13.2","IL"
"764",NA,"Indiana",18,2014,2014,1172,6596855,"17.8","IN"
"765",NA,"Iowa",19,2014,2014,264,3107126,"8.5","IA"
"766",NA,"Kansas",20,2014,2014,332,2904021,"11.4","KS"
"767",NA,"Kentucky",21,2014,2014,1077,4413457,"24.4","KY"
"768",NA,"Louisiana",22,2014,2014,777,4649676,"16.7","LA"
"769",NA,"Maine",23,2014,2014,216,1330089,"16.2","ME"
"770",NA,"Maryland",24,2014,2014,1070,5976407,"17.9","MD"
"771",NA,"Massachusetts",25,2014,2014,1289,6745408,"19.1","MA"
"772",NA,"Michigan",26,2014,2014,1762,9909877,"17.8","MI"
"773",NA,"Minnesota",27,2014,2014,517,5457173,"9.5","MN"
"774",NA,"Mississippi",28,2014,2014,336,2994079,"11.2","MS"
"775",NA,"Missouri",29,2014,2014,1067,6063589,"17.6","MO"
"776",NA,"Montana",30,2014,2014,125,1023579,"12.2","MT"
"777",NA,"Nebraska",31,2014,2014,125,1881503,"6.6","NE"
"778",NA,"Nevada",32,2014,2014,545,2839099,"19.2","NV"
"779",NA,"New Hampshire",33,2014,2014,334,1326813,"25.2","NH"
"780",NA,"New Jersey",34,2014,2014,1253,8938175,"14","NJ"
"781",NA,"New Mexico",35,2014,2014,547,2085572,"26.2","NM"
"782",NA,"New York",36,2014,2014,2300,19746227,"11.6","NY"
"783",NA,"North Carolina",37,2014,2014,1358,9943964,"13.7","NC"
"784",NA,"North Dakota",38,2014,2014,43,739482,"5.8","ND"
"785",NA,"Ohio",39,2014,2014,2744,11594163,"23.7","OH"
"786",NA,"Oklahoma",40,2014,2014,777,3878051,"20","OK"
"787",NA,"Oregon",41,2014,2014,522,3970239,"13.1","OR"
"788",NA,"Pennsylvania",42,2014,2014,2732,12787209,"21.4","PA"
