"","Notes","State","State.Code","Year","Year.Code","Deaths","Population","Crude.Rate","region"
"79",NA,"New Hampshire",33,2000,2000,45,1235786,"3.6","NH"
"80",NA,"New Jersey",34,2000,2000,643,8414350,"7.6","NJ"
"81",NA,"New Mexico",35,2000,2000,271,1819046,"14.9","NM"
"82",NA,"New York",36,2000,2000,767,18976457,"4","NY"
"83",NA,"North Carolina",37,2000,2000,491,8049313,"6.1","NC"
"84",NA,"North Dakota",38,2000,2000,14,642200,NA,"ND"
"85",NA,"Ohio",39,2000,2000,563,11353140,"5","OH"
"86",NA,"Oklahoma",40,2000,2000,237,3450654,"6.9","OK"
"87",NA,"Oregon",41,2000,2000,208,3421399,"6.1","OR"
"88",NA,"Pennsylvania",42,2000,2000,1147,12281054,"9.3","PA"
"89",NA,"Rhode Island",44,2000,2000,74,1048319,"7.1","RI"
"90",NA,"South Carolina",45,2000,2000,258,4012012,"6.4","SC"
"91",NA,"South Dakota",46,2000,2000,20,754844,"2.6","SD"
"92",NA,"Tennessee",47,2000,2000,397,5689283,"7","TN"
"93",NA,"Texas",48,2000,2000,1021,20851820,"4.9","TX"
"94",NA,"Utah",49,2000,2000,210,2233169,"9.4","UT"
"95",NA,"Vermont",50,2000,2000,36,608827,"5.9","VT"
"96",NA,"Virginia",51,2000,2000,411,7078515,"5.8","VA"
"97",NA,"Washington",53,2000,2000,556,5894121,"9.4","WA"
"98",NA,"West Virginia",54,2000,2000,113,1808344,"6.2","WV"
"99",NA,"Wisconsin",55,2000,2000,248,5363675,"4.6","WI"
"100",NA,"Wyoming",56,2000,2000,22,493782,"4.5","WY"
"101",NA,"Alabama",1,2001,2001,216,4467634,"4.8","AL"
"102",NA,"Alaska",2,2001,2001,62,633714,"9.8","AK"
"103",NA,"Arizona",4,2001,2001,552,5273477,"10.5","AZ"
"104",NA,"Arkansas",5,2001,2001,126,2691571,"4.7","AR"
"105",NA,"California",6,2001,2001,1226,34479458,"3.6","CA"
"106",NA,"Colorado",8,2001,2001,411,4425687,"9.3","CO"
"107",NA,"Connecticut",9,2001,2001,307,3432835,"8.9","CT"
"108",NA,"Delaware",10,2001,2001,64,795699,"8","DE"
"109",NA,"Florida",12,2001,2001,1746,16356966,"10.7","FL"
"110",NA,"Georgia",13,2001,2001,511,8377038,"6.1","GA"
"111",NA,"Hawaii",15,2001,2001,77,1225948,"6.3","HI"
"112",NA,"Idaho",16,2001,2001,98,1319962,"7.4","ID"
"113",NA,"Illinois",17,2001,2001,892,12488445,"7.1","IL"
"114",NA,"Indiana",18,2001,2001,283,6127760,"4.6","IN"
"115",NA,"Iowa",19,2001,2001,87,2931997,"3","IA"
"116",NA,"Kansas",20,2001,2001,138,2702162,"5.1","KS"
"117",NA,"Kentucky",21,2001,2001,345,4068132,"8.5","KY"
"118",NA,"Louisiana",22,2001,2001,265,4477875,"5.9","LA"
"119",NA,"Maine",23,2001,2001,85,1285692,"6.6","ME"
"120",NA,"Maryland",24,2001,2001,639,5374691,"11.9","MD"
"121",NA,"Massachusetts",25,2001,2001,689,6397634,"10.8","MA"
"122",NA,"Michigan",26,2001,2001,621,9991120,"6.2","MI"
"123",NA,"Minnesota",27,2001,2001,185,4982796,"3.7","MN"
"124",NA,"Mississippi",28,2001,2001,169,2852994,"5.9","MS"
"125",NA,"Missouri",29,2001,2001,351,5641142,"6.2","MO"
"126",NA,"Montana",30,2001,2001,56,906961,"6.2","MT"
"127",NA,"Nebraska",31,2001,2001,66,1719836,"3.8","NE"
"128",NA,"Nevada",32,2001,2001,261,2098399,"12.4","NV"
"129",NA,"New Hampshire",33,2001,2001,79,1255517,"6.3","NH"
"130",NA,"New Jersey",34,2001,2001,705,8492671,"8.3","NJ"
"131",NA,"New Mexico",35,2001,2001,258,1831690,"14.1","NM"
"132",NA,"New York",36,2001,2001,1079,19082838,"5.7","NY"
"133",NA,"North Carolina",37,2001,2001,551,8210122,"6.7","NC"
"134",NA,"North Dakota",38,2001,2001,14,639062,NA,"ND"
"135",NA,"Ohio",39,2001,2001,737,11387404,"6.5","OH"
"136",NA,"Oklahoma",40,2001,2001,269,3467100,"7.8","OK"
"137",NA,"Oregon",41,2001,2001,241,3467937,"6.9","OR"
"138",NA,"Pennsylvania",42,2001,2001,958,12298970,"7.8","PA"
"139",NA,"Rhode Island",44,2001,2001,110,1057142,"10.4","RI"
"140",NA,"South Carolina",45,2001,2001,242,4064995,"6","SC"
"141",NA,"South Dakota",46,2001,2001,24,757972,"3.2","SD"
"142",NA,"Tennessee",47,2001,2001,424,5750789,"7.4","TN"
"143",NA,"Texas",48,2001,2001,1374,21319622,"6.4","TX"
"144",NA,"Utah",49,2001,2001,209,2283715,"9.2","UT"
"145",NA,"Vermont",50,2001,2001,44,612223,"7.2","VT"
"146",NA,"Virginia",51,2001,2001,459,7198362,"6.4","VA"
"147",NA,"Washington",53,2001,2001,499,5985722,"8.3","WA"
"148",NA,"West Virginia",54,2001,2001,206,1801481,"11.4","WV"
"149",NA,"Wisconsin",55,2001,2001,269,5406835,"5","WI"
"150",NA,"Wyoming",56,2001,2001,22,494657,"4.4","WY"
"151",NA,"Alabama",1,2002,2002,211,4480089,"4.7","AL"
"152",NA,"Alaska",2,2002,2002,84,642337,"13.1","AK"
"153",NA,"Arizona",4,2002,2002,624,5396255,"11.6","AZ"
"154",NA,"Arkansas",5,2002,2002,176,2705927,"6.5","AR"
"155",NA,"California",6,2002,2002,2975,34871843,"8.5","CA"
"156",NA,"Colorado",8,2002,2002,448,4490406,"10","CO"
"157",NA,"Connecticut",9,2002,2002,354,3458749,"10.2","CT"
"158",NA,"Delaware",10,2002,2002,84,806169,"10.4","DE"
"159",NA,"Florida",12,2002,2002,1927,16689370,"11.5","FL"
"160",NA,"Georgia",13,2002,2002,563,8508256,"6.6","GA"
"161",NA,"Hawaii",15,2002,2002,77,1239613,"6.2","HI"
"162",NA,"Idaho",16,2002,2002,117,1340372,"8.7","ID"
"163",NA,"Illinois",17,2002,2002,986,12525556,"7.9","IL"
"164",NA,"Indiana",18,2002,2002,293,6155967,"4.8","IN"
"165",NA,"Iowa",19,2002,2002,91,2934234,"3.1","IA"
"166",NA,"Kansas",20,2002,2002,170,2713535,"6.3","KS"
"167",NA,"Kentucky",21,2002,2002,426,4089875,"10.4","KY"
"168",NA,"Louisiana",22,2002,2002,365,4497267,"8.1","LA"
"169",NA,"Maine",23,2002,2002,139,1295960,"10.7","ME"
"170",NA,"Maryland",24,2002,2002,723,5440389,"13.3","MD"
"171",NA,"Massachusetts",25,2002,2002,705,6417206,"11","MA"
"172",NA,"Michigan",26,2002,2002,751,10015710,"7.5","MI"
"173",NA,"Minnesota",27,2002,2002,201,5018935,"4","MN"
"174",NA,"Mississippi",28,2002,2002,183,2858681,"6.4","MS"
"175",NA,"Missouri",29,2002,2002,416,5674825,"7.3","MO"
"176",NA,"Montana",30,2002,2002,78,911667,"8.6","MT"
"177",NA,"Nebraska",31,2002,2002,66,1728292,"3.8","NE"
"178",NA,"Nevada",32,2002,2002,323,2173791,"14.9","NV"
